                                               chr1         chr2        
query.population                               9998         10000       
reference.population                           9997         9999        
relative.distances.ks.p.value                  0            0           
relative.distances.ecdf.deviation.area         0.1589897    0.157609    
relative.distances.ecdf.area.correlation       0.5216529    0.5109629   
query.reference.intersection                   0            0           
query.reference.union                          49847535     48637568    
jaccard.measure                                0            0           
projection.test.p.value                        0            0           
projection.test.lower.tail                     TRUE         TRUE        
reference.middles                              Numeric,9997 Numeric,9999
relative.distances.ecdf.deviation.area.p.value "<0.01"      "<0.01"     
scaled.absolute.min.distance.sum.p.value       "<0.01"      "<0.01"     
scaled.absolute.min.distance.sum.lower.tail    TRUE         TRUE        
jaccard.measure.p.value                        "<0.01"      "<0.01"     
jaccard.measure.lower.tail                     TRUE         TRUE        
                                               chr3         awhole   
query.population                               9996         29994    
reference.population                           9996         29992    
relative.distances.ks.p.value                  0            0        
relative.distances.ecdf.deviation.area         0.1441768    0.1468148
relative.distances.ecdf.area.correlation       0.3917034    0.4757797
query.reference.intersection                   0            0        
query.reference.union                          39604152     138089255
jaccard.measure                                0            0        
projection.test.p.value                        0            0        
projection.test.lower.tail                     TRUE         TRUE     
reference.middles                              Numeric,9996 NULL     
relative.distances.ecdf.deviation.area.p.value "<0.01"      "<0.01"  
scaled.absolute.min.distance.sum.p.value       "<0.01"      "<0.01"  
scaled.absolute.min.distance.sum.lower.tail    TRUE         TRUE     
jaccard.measure.p.value                        "<0.01"      "<0.01"  
jaccard.measure.lower.tail                     TRUE         TRUE     
